City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
250,emboscada,-25.15,-57.35,26.89,26.89,0,6.17,PY,1687788813
251,arkhangel'sk,64.5401,40.5433,23.04,23.04,69,3.1,RU,1687788692
252,saipan,15.1355,145.701,27.03,26.39,75,6.69,MP,1687788815
253,goz beida,13.95,20.55,38.07,38.07,18,2.99,TD,1687788815
254,vila franca do campo,37.7167,-25.4333,23.23,23.23,2,3.17,PT,1687788816
255,inverness highlands south,28.8006,-82.3371,31.79,27.77,99,1.93,US,1687788817
256,hadibu,12.65,54.0333,27.33,27.33,98,10.25,YE,1687788818
257,lethbridge,49.7,-112.8186,16.45,14.27,40,2.06,CA,1687788819
258,craig,40.5153,-107.5464,12.79,10.97,0,1.54,US,1687788819
259,gadzhiyevo,69.2551,33.3362,9.13,9.13,100,3.04,RU,1687788820
260,sidi ifni,29.3797,-10.173,46.86,46.86,30,0.64,MA,1687788821
261,banjar,-8.19,114.9675,24.45,24.45,33,2.26,ID,1687788822
262,constantia,44.1833,28.65,26.5,26.38,74,6.17,RO,1687788823
263,idri,27.5,13.2667,40.05,40.05,0,3.41,LY,1687788824
264,flin flon,54.7682,-101.865,13.91,13.91,40,2.57,CA,1687788825
265,portland,45.5234,-122.6762,14.78,11.84,75,2.06,US,1687788826
266,saynshand,44.8824,110.1163,24.81,24.81,0,4.61,MN,1687788827
267,stanthorpe,-28.6667,151.95,3.5,3.5,2,2.39,AU,1687788798
268,sarmiento,-45.5882,-69.07,7.35,7.35,100,10.98,AR,1687788828
269,hinton,53.4001,-117.5857,15.81,15.81,63,1.89,CA,1687788829
270,matoury,4.8483,-52.3317,29.98,29.98,20,2.06,GF,1687788830
271,al ghayzah,16.2079,52.176,31.3,31.3,51,4.7,YE,1687788831
272,tsiombe,-25.3,45.4833,20.07,20.07,0,3.39,MG,1687788832
273,condeixa-a-nova,40.1157,-8.4983,32.53,22.78,4,5.33,PT,1687788832
274,taltal,-25.4,-70.4833,18.74,18.74,0,2.26,CL,1687788835
275,bereznik,62.8551,42.7072,23.05,23.05,95,2.15,RU,1687788835
276,luchegorsk,46.4764,134.2569,19.11,19.11,99,2.66,RU,1687788836
277,maragogi,-9.0122,-35.2225,25.68,25.68,47,6.51,BR,1687788837
278,mogok,22.9167,96.5,19.71,19.71,17,1.56,MM,1687788838
279,labuan,5.2767,115.2417,26.2,26.2,20,0.0,MY,1687788839
280,el vigia,8.6219,-71.6506,29.5,29.5,72,1.72,VE,1687788840
281,arawa,-6.2132,155.5367,24.63,24.63,100,2.23,PG,1687788841
282,srivardhan,18.0333,73.0167,28.05,28.05,100,5.73,IN,1687788841
283,vilyuchinsk,52.9306,158.4028,12.15,11.81,45,0.98,RU,1687788817
284,fort bragg,35.139,-79.006,27.68,25.82,75,3.09,US,1687788843
285,sainte-agathe-des-monts,46.0501,-74.2825,21.14,18.16,95,5.8,CA,1687788844
286,dudinka,69.4058,86.1778,15.9,15.9,73,5.36,RU,1687788585
287,ballina,-28.8667,153.5667,12.82,12.82,6,4.52,AU,1687788846
288,kodinsk,58.6881,99.1844,14.36,14.36,100,3.7,RU,1687788846
289,el calafate,-50.3408,-72.2768,1.41,1.41,100,1.79,AR,1687788847
